sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV),charge(C),DAQltime
11,12424,LD2,2100,750,9.88875774539249,0.000210875109148,0.00853978,0
11,12425,LD2,2100,750,9.88877501218861,0.000227391722913,0.0151059,0
11,12473,LD2,2100,750,9.88895308826007,0.000337364189158,0.0157721,0
11,12474,LD2,2100,750,9.88892775230594,0.000207289164285,0.0428121,0
11,12478,LD2,2100,750,9.88896869610829,0.000216697960838,0.0289925,0
11,12479,LD2,2100,750,9.88884481675393,0.00022979702607,0.0292818,0
11,12480,LD2,2100,750,9.88873020571717,0.000198284525322,0.0285203,0
11,12481,LD2,2100,750,9.88897280480144,0.000259825607632,0.0121433,0
11,12482,LD2,2100,750,9.88912578428571,0.000160199153062,0.016247,0
11,12485,LD2,2100,750,9.88893489116451,0.000370227262961,0.0301329,0
11,12486,LD2,2100,750,9.88894071050943,0.000391823716742,0.027601,0
11,12498,LD2,2100,750,9.88914927460265,0.000293131171036,0.0162078,0
11,12499,LD2,2100,750,9.88905433160183,0.000145243443662,0.0265208,0
11,12500,LD2,2100,750,9.88899422925234,0.00011899489533,0.0068212,0
11,12501,LD2,2100,750,9.88905844,0.00028488554908,0.000351186,0
11,12502,LD2,2100,750,9.88897805304029,0.000144309058399,0.0180723,0
11,12512,LD2,2100,750,9.88903268627819,0.000156833487185,0.0307011,0
11,12513,LD2,2100,750,9.88903513609665,0.000155307951453,0.0309957,0
11,12514,LD2,2100,750,9.88903797212569,0.000160969785386,0.0292832,0
11,12515,LD2,2100,750,9.88903728082192,0.000187273893126,0.0167391,0
11,12516,LD2,2100,750,9.88911384111111,0.000162045732855,0.0260071,0
11,12517,LD2,2100,750,9.8889782,0,7.85587E-05,0
11,12521,LD2,2100,750,9.88906441432348,0.000214220547809,0.0319314,0
11,12523,LD2,2100,750,9.88896843256544,0.000316706471111,0.0215826,0
11,12527,LD2,2100,750,9.88911408890351,0.000174712651209,0.0235809,0
11,12532,LD2,2100,750,9.88906293542793,0.000194306569174,0.0268895,0
11,12534,LD2,2100,750,9.88899736989177,0.00017574250503,0.0269938,0
11,12535,LD2,2100,750,9.88909388385135,0.000170874194594,0.0162786,0
11,12536,LD2,2100,750,9.88909469239074,0.000178199837585,0.0209012,0
11,12537,LD2,2100,750,9.88908437009216,0.000158994499989,0.0227891,0
11,12538,LD2,2100,750,9.88915446980198,0.000142039437199,0.00488789,0
11,12539,LD2,2100,750,9.88902093944196,0.00014375141764,0.0273828,0
11,12541,LD2,2100,750,9.88900956397177,0.000234769877769,0.0292565,0
11,12542,LD2,2100,750,9.88912778658536,0.000177326114415,0.0297071,0
